Date,Open,High,Low,Close,Volume,Symbol
2022-11-02,10400.0,10400.0,10200.0,10200.0,6146100.0,POW
2022-11-03,10050.0,10200.0,10000.0,10100.0,3667100.0,POW
2022-11-04,10100.0,10100.0,9700.0,9800.0,7710300.0,POW
2022-11-07,9800.0,9950.0,9740.0,9790.0,6363400.0,POW
2022-11-08,9740.0,10450.0,9710.0,10450.0,10855800.0,POW
2022-11-09,10650.0,10950.0,10600.0,10850.0,10436300.0,POW
2022-11-10,10650.0,10800.0,10100.0,10250.0,12467000.0,POW
2022-11-11,10600.0,10800.0,10300.0,10600.0,7777600.0,POW
2022-11-14,10500.0,10550.0,9960.0,10300.0,7140300.0,POW
2022-11-15,10100.0,10150.0,9580.0,9580.0,13382200.0,POW
2022-11-16,8910.0,10150.0,8910.0,10100.0,11312400.0,POW
2022-11-17,10100.0,10450.0,10000.0,10100.0,6965000.0,POW
2022-11-18,10100.0,10250.0,9550.0,10100.0,8219200.0,POW
2022-11-21,10100.0,10500.0,10100.0,10300.0,7636900.0,POW
2022-11-22,10300.0,10800.0,10200.0,10350.0,11403800.0,POW
2022-11-23,10400.0,10750.0,10350.0,10450.0,8055200.0,POW
2022-11-24,10450.0,10600.0,10300.0,10600.0,4923200.0,POW
2022-11-25,10750.0,10850.0,10550.0,10850.0,7832500.0,POW
2022-11-28,10950.0,11300.0,10800.0,11300.0,13539700.0,POW
2022-11-29,11300.0,11450.0,11000.0,11300.0,11265900.0,POW
2022-11-30,11400.0,11750.0,11150.0,11650.0,11924900.0,POW
2022-12-01,11850.0,11900.0,11200.0,11200.0,12492200.0,POW
2022-12-02,11050.0,11700.0,11000.0,11700.0,11549000.0,POW
2022-12-05,11950.0,11950.0,11500.0,11500.0,13745100.0,POW
2022-12-06,11500.0,11550.0,10900.0,10900.0,12336700.0,POW
2022-12-07,10900.0,11150.0,10750.0,10950.0,8784400.0,POW
2022-12-08,11100.0,11350.0,11000.0,11200.0,7987600.0,POW
2022-12-09,11300.0,11300.0,11050.0,11200.0,4895100.0,POW
2022-12-12,11200.0,11550.0,11150.0,11150.0,9549900.0,POW
2022-12-13,11200.0,11400.0,11000.0,11400.0,6695200.0,POW
2022-12-14,11550.0,11550.0,11250.0,11400.0,8051000.0,POW
2022-12-15,11300.0,11450.0,11250.0,11400.0,6406100.0,POW
2022-12-16,11200.0,11500.0,11150.0,11450.0,7569800.0,POW
2022-12-19,11350.0,11500.0,11050.0,11100.0,9353700.0,POW
2022-12-20,11050.0,11150.0,10600.0,10700.0,9038200.0,POW
2022-12-21,10800.0,10900.0,10400.0,10450.0,6046800.0,POW
2022-12-22,10600.0,10850.0,10450.0,10700.0,6755200.0,POW
2022-12-23,10600.0,11200.0,10600.0,10950.0,9759400.0,POW
2022-12-26,11050.0,11100.0,10300.0,10300.0,6534600.0,POW
2022-12-27,10500.0,10650.0,10350.0,10650.0,5246100.0,POW
2022-12-28,10600.0,10750.0,10550.0,10650.0,3577400.0,POW
2022-12-29,10650.0,10700.0,10500.0,10500.0,3098300.0,POW
2022-12-30,10600.0,10750.0,10550.0,10650.0,3547500.0,POW
2022-10-03,177487.4582627143,182390.42672301023,177487.4582627143,178664.1706931853,77400.0,SAB
2022-10-04,178664.1706931853,185234.148429982,178664.1706931853,184351.61410712864,206200.0,SAB
2022-10-05,185920.5640144233,187293.39518330625,183469.07978427532,185332.20779918783,265100.0,SAB
2022-10-06,181605.9517693629,182880.72356903984,181409.83303095103,182194.3079845984,54100.0,SAB
2022-10-07,179448.64564683268,183371.02041506948,179448.64564683268,183371.02041506948,178100.0,SAB
2022-10-10,182390.42672301023,182488.48609221616,177683.5770011261,180919.53618492148,211500.0,SAB
2022-10-11,179938.9424928623,181900.12987698065,178566.1113239794,179938.9424928623,158300.0,SAB
2022-10-12,183861.31726109903,183861.31726109903,179938.9424928623,179938.9424928623,60200.0,SAB
2022-10-13,179938.9424928623,186312.80149124705,177977.75510874388,186312.80149124705,195600.0,SAB
2022-10-14,189254.58256742463,189254.58256742463,180429.23933889187,184743.85158395235,99100.0,SAB
2022-10-17,181900.12987698065,186116.6827528352,180037.0018620682,181507.89240015697,66700.0,SAB
2022-10-18,185724.4452760115,186116.6827528352,181704.01113856884,186116.6827528352,180300.0,SAB
2022-10-19,186312.80149124705,187195.3358141004,184841.91095315825,187195.3358141004,113900.0,SAB
2022-10-20,186312.80149124705,188175.9295061596,185528.32653759967,187587.573290924,114400.0,SAB
